text,category
Light in front of temple broken,Streetlight
Streetlight on the flyover approach dark,Streetlight
Old incandescent lights consuming power unnecessarily,Streetlight
New layout has no street lights at all,Streetlight
Street light department not responding to calls,Streetlight
No replacement for fused lights in months,Streetlight
Temporary light removed and not replaced,Streetlight
Light not working since Diwali,Streetlight
Emergency call box area has no light,Streetlight
Light outside ATM not working unsafe,Streetlight
Bridge streetlights all non-functional,Streetlight
Light repair complaint ignored twice,Streetlight
Streetlight at school crossing broken,Streetlight
Road has potholes,Pothole
Big pothole near my house,Pothole
Deep crater on the main road,Pothole
Road has dug up in many places,Pothole
Pothole causing accidents,Pothole
Bike fell into pothole last night,Pothole
Road is full of craters after rain,Pothole
Water-filled potholes dangerous to drive,Pothole
Road surface badly damaged in our area,Pothole
Auto tyre punctured due to pothole,Pothole
Road needs urgent patching work,Pothole
School bus difficult to pass due to potholes,Pothole
Vehicle suspension damaged by road cracks,Pothole
Giant hole in middle of road,Pothole
Several small craters forming on the lane,Pothole
Heavy rains exposed deeper potholes,Pothole
Pothole near junction causing traffic jam,Pothole
Broken road causing delay and accidents,Pothole
Main road has not been repaired in years,Pothole
Road surface crumbling at the corner,Pothole
Old patched road cracking up again,Pothole
Water logging in pothole causing disease,Pothole
Speed breaker damaged and has become a crater,Pothole
Road in front of hospital full of holes,Pothole
Potholes after pipe laying work not repaired,Pothole
Vehicle damaged wheel due to bad road,Pothole
Big ditch at entrance of our society,Pothole
Road broken after heavy vehicle movement,Pothole
Stone chips missing from road surface,Pothole
Pothole being ignored despite complaints,Pothole
Tar road surface peeling off,Pothole
Slippery broken road due to uneven surface,Pothole
Road collapse near the culvert,Pothole
Large hole near bus stop hurting commuters,Pothole
Half-completed road repair left as is,Pothole
Manholes flush with road broken,Pothole
Road damage worsening every month,Pothole
Children avoid pothole-filled road,Pothole
Elderly person fell due to road crack,Pothole
Entry road to colony broken,Pothole
Cave-in on service lane,Pothole
Pothole near school dangerous for students,Pothole
Service road full of potholes after rain,Pothole
Bitumen road coming off surface,Pothole
Road edge crumbling into gutter,Pothole
Night drivers cannot see deep potholes,Pothole
Road recently relaid but already breaking,Pothole
Trucks causing road to develop cracks,Pothole
Tarmac ripped open by tree roots,Pothole
Road dug for cable work not restored,Pothole
Ambulance had trouble navigating bad road,Pothole
Road subsidence outside my gate,Pothole
Continuous potholes on the stretch,Pothole
Divider road has deep craters,Pothole
Dust and loose gravel from broken road,Pothole
Footpath broken and road damaged both,Pothole
Internal road of colony completely destroyed,Pothole
Pothole causing drainage water to collect,Pothole
Road side slope eroding and creating holes,Pothole
Road broken near the water meter,Pothole
Patch repair done badly creating bumps,Pothole
Concrete road slab broken and sinking,Pothole
Cement road cracked and needs repair,Pothole
Slab missing from road causing dip,Pothole
Broken road affecting daily commute badly,Pothole
Road surface not even for 500 meters,Pothole
Pothole at the curve very dangerous,Pothole
Electric pole base exposed due to road damage,Pothole
Gravel road washed away by rain,Pothole
Road never completed after last work,Pothole
Our colony road is full of stones and holes,Pothole

